Firm,Year,Cash_Equiv,Acct_Rec,Net_PPE,Avail_Sale_Sec,Other_Assets,Curr_Debt,Long_Term_Debt,Payables,Def_Tax_Liab,Other_Liab,Capital_Stock,Common_Stock,Ret_Earnings,Other_Equity
Tencent,0,77.08479,58.58525,43.396214,42.309704,48.355824,24.981606,48.028572,39.27976,33.94634,16.240746,16.23978,12.323344,44.647045,34.0446
Tencent,1,45.89064,53.12349,50.74423,34.112423,63.63229,38.322903,10.8233795,48.796394,43.297707,18.493565,17.272999,17.33618,22.16969,30.990257
Tencent,2,56.864647,48.43333,51.068558,42.243206,34.34814,27.277802,21.649166,34.474117,15.579755,21.685785,24.654474,28.2428,41.40704,17.986952
Tencent,3,62.954475,92.51118,37.83225,45.310474,40.157017,30.569378,33.696583,11.858017,34.301796,16.820965,12.602064,47.95542,48.625282,42.335896
Tencent,4,25.909376,64.947784,57.674057,46.67818,28.645617,22.184551,13.906884,37.36932,27.6061,14.88153,29.807076,11.375541,46.372814,20.3512
JPMorgan,0,71.46508,70.15745,48.5172,67.30205,64.75462,36.500893,22.468443,30.802721,31.868412,17.394178,48.783386,41.005314,47.579956,45.793095
JPMorgan,1,55.02642,55.975388,26.890823,43.13017,55.52004,33.916,46.87497,13.5397005,17.839315,11.809092,23.013214,25.547092,20.853962,43.1495
JPMorgan,2,54.092873,73.147026,62.48111,35.747913,30.767208,24.270134,21.237381,31.707844,15.636969,42.08788,12.982026,49.47548,40.88979,17.948627
JPMorgan,3,58.001778,26.73151,55.12592,73.12194,54.602905,10.220884,42.618458,38.274292,39.160286,40.850815,12.961786,24.338629,14.634763,44.524136
JPMorgan,4,43.010727,55.365147,46.404583,50.63529,69.80472,34.931927,23.235922,12.542334,22.439293,23.007334,39.184246,35.5023,45.48851,28.888597
Alibaba_HK,0,46.940674,77.405556,74.44748,36.859055,30.16152,14.78377,38.529793,40.4314,32.451088,40.838688,29.751823,30.909313,27.10164,11.016765
Alibaba_HK,1,42.76884,36.891743,42.317856,84.21718,40.662403,14.315657,11.257168,35.456417,22.57424,30.342827,46.302658,19.97169,26.415318,40.222046
Alibaba_HK,2,48.302593,79.31978,30.862202,77.526405,46.11323,19.151926,13.079196,21.590057,16.44885,47.187904,42.324814,35.33615,44.858425,42.146885
Alibaba_HK,3,29.616,57.33514,54.087143,65.994064,59.1717,17.462803,45.70236,31.57369,42.297607,45.84365,22.720139,14.402077,19.117407,27.084312
Alibaba_HK,4,63.56538,38.136597,33.035927,60.987316,63.72893,42.720592,44.429222,10.278085,30.429892,26.69644,18.884312,14.794615,23.504606,47.71639
Exxon,0,78.97363,48.35457,46.20342,67.63007,44.549534,22.928118,30.751625,38.120758,24.545183,48.871284,48.49789,20.071291,29.88994,22.035131
Exxon,1,48.80003,46.33251,31.68597,42.664497,42.789738,21.39362,11.475478,34.382572,30.10716,12.05915,21.145859,46.330635,19.582476,15.7957945
Exxon,2,34.459965,80.13599,57.4359,75.788216,46.85419,29.57811,49.426018,19.68221,36.88542,40.464783,19.505503,39.128654,24.711325,35.292233
Exxon,3,71.76962,45.730278,26.271597,72.27664,30.408968,35.341187,31.430988,13.61159,43.412098,22.831203,17.460741,11.631005,33.63572,37.102573
Exxon,4,33.05674,58.50546,58.527454,43.309856,45.66609,10.663513,30.483723,19.059832,35.80691,16.974657,37.63751,25.469414,47.4692,15.500837
