scenario,baseline,differentiability_sensitivity_mean,differentiability_sensitivity_std,bias_l2_mean,bias_l2_std,diff_bias_product_mean,diff_bias_product_std,flow_magnitude_std_mean,flow_magnitude_std_std,jacobian_conditioning_mean,jacobian_conditioning_std,acceptance_or_resample_mean_mean,acceptance_or_resample_mean_std
extreme_sigmaV2_0p2_sigmaW2_60,DPFNet-HMC,0.2692578144249809,0.006775347770023959,17.408195114135744,0.1556700541369304,4.687112644529487,0.11839079312089255,2.71630919197465,0.09525786763544317,1.0000034971237182,3.697122704531167e-07,1.0,0.0
extreme_sigmaV2_0p2_sigmaW2_60,DPFNet-PMMH,0.2731878879314876,0.001662472082224946,17.48148307800293,0.20727321488046715,4.775792263985894,0.06805531084750852,2.66062017070586,0.02231204373742656,1.0000036630630493,1.8212807588947918e-07,0.9834800124168396,0.0004501174589223709
extreme_sigmaV2_60_sigmaW2_0p2,DPFNet-HMC,0.3715907507057289,0.008188058220652007,35.90825424194336,0.7984594460695479,13.344910664199734,0.46809725569776917,1.6924499612834392,0.05979514551059372,1.0000004708766936,9.446913133464764e-09,1.0,0.0
extreme_sigmaV2_60_sigmaW2_0p2,DPFNet-PMMH,0.37783921904034984,0.009832423488668732,36.470618438720706,0.7956942915718734,13.780122174940308,0.4669193253721409,1.648467792441572,0.07070174228466405,1.0000004754066467,6.189706332624537e-09,0.5133600115776062,0.003225259109274219
extreme_sigmaV2_80_sigmaW2_80,DPFNet-HMC,0.3308732249684225,0.013932312745547707,39.006604766845705,0.20298417208289382,12.903838931827107,0.48858909488037,2.027709199822193,0.12845952278339312,1.0000004715919495,8.483146108509047e-09,1.0,0.0
extreme_sigmaV2_80_sigmaW2_80,DPFNet-PMMH,0.32846254323892066,0.006299422141065609,39.00408096313477,0.3056422243052402,12.810315489816222,0.20817539392159146,2.0456062209340695,0.05835234921312371,1.0000004713535309,2.1199152566069176e-08,0.9545600295066834,0.0011816582697124947
sigmaV2_10_sigmaW2_1,DPFNet-HMC,0.34769405748714616,0.01330550512511338,25.418692779541015,0.32956776101167845,8.835710474187321,0.2992486260391444,1.880318875034294,0.11049223317690596,1.0000004863739014,1.1434153349911265e-08,1.0,0.0
sigmaV2_10_sigmaW2_1,DPFNet-PMMH,0.357713820719495,0.011536908193614097,25.761566162109375,0.6990518459538699,9.216577573716844,0.4252776619770762,1.7984072630433563,0.08923831741408766,1.0000005016326905,1.6264970651963834e-08,0.6680099725723266,0.0026338332752853092
sigmaV2_10_sigmaW2_10,DPFNet-HMC,0.3348025726062286,0.014145214709655109,24.546161651611328,0.45196943356077973,8.215806294192063,0.32435586338766537,1.9922128292490981,0.12737965776720517,1.0000004873275756,1.7542812462803447e-08,1.0,0.0
sigmaV2_10_sigmaW2_10,DPFNet-PMMH,0.33181311252903845,0.015345123849123014,24.955224990844727,0.514261391416806,8.28084846175496,0.4276755701736702,2.0198216103949447,0.13143565687877648,1.0000004897117614,8.341243617741348e-09,0.8603766441345215,0.002198953385206804
