scenario,baseline,seed,transport_strength,rmse,mean_ess,runtime_sec,acceptance_or_resample_mean
sigmaV2_10_sigmaW2_10,DPFNet-HMC,11,0.15,26.036243438720703,200.00001525878906,2.6533327102661133,1.0
sigmaV2_10_sigmaW2_10,DPFNet-HMC,22,0.15,26.402706146240234,200.00001525878906,2.7860424518585205,1.0
sigmaV2_10_sigmaW2_10,DPFNet-HMC,33,0.15,26.35386848449707,200.00001525878906,2.7965173721313477,1.0
sigmaV2_10_sigmaW2_10,DPFNet-HMC,44,0.15,25.820594787597656,200.00001525878906,2.7659504413604736,1.0
sigmaV2_10_sigmaW2_10,DPFNet-HMC,55,0.15,25.995582580566406,200.00001525878906,2.8001883029937744,1.0
sigmaV2_10_sigmaW2_10,DPFNet-HMC,11,0.35,24.976343154907227,200.00001525878906,2.8072891235351562,1.0
sigmaV2_10_sigmaW2_10,DPFNet-HMC,22,0.35,24.52538299560547,200.00001525878906,2.8402833938598633,1.0
sigmaV2_10_sigmaW2_10,DPFNet-HMC,33,0.35,24.261146545410156,200.00001525878906,2.801635980606079,1.0
sigmaV2_10_sigmaW2_10,DPFNet-HMC,44,0.35,23.872852325439453,200.00001525878906,2.768716812133789,1.0
sigmaV2_10_sigmaW2_10,DPFNet-HMC,55,0.35,25.095083236694336,200.00001525878906,2.6686341762542725,1.0
sigmaV2_10_sigmaW2_10,DPFNet-HMC,11,0.55,29.459489822387695,200.00001525878906,2.7517149448394775,1.0
sigmaV2_10_sigmaW2_10,DPFNet-HMC,22,0.55,28.44565773010254,200.00001525878906,2.819176435470581,1.0
sigmaV2_10_sigmaW2_10,DPFNet-HMC,33,0.55,29.196136474609375,200.00001525878906,2.724107265472412,1.0
sigmaV2_10_sigmaW2_10,DPFNet-HMC,44,0.55,28.255149841308594,200.00001525878906,2.7217931747436523,1.0
sigmaV2_10_sigmaW2_10,DPFNet-HMC,55,0.55,29.060142517089844,200.00001525878906,2.7892441749572754,1.0
sigmaV2_10_sigmaW2_10,DPFNet-PMMH,11,0.15,25.979290008544922,200.00001525878906,1.4749798774719238,0.8220166563987732
sigmaV2_10_sigmaW2_10,DPFNet-PMMH,22,0.15,26.014060974121094,200.00001525878906,1.4602632522583008,0.8238332867622375
