scenario,baseline,iteration,flow_magnitude_mean,flow_magnitude_std,jacobian_conditioning_mean,jacobian_conditioning_std
sigmaV2_10_sigmaW2_1,DFPHS,1,0.0,0.0,1.0000001430511474,4.7683715820312496e-08
sigmaV2_10_sigmaW2_1,DFPHS,2,0.0,0.0,1.0000003576278687,2.5005551532987395e-07
sigmaV2_10_sigmaW2_1,DFPHS,3,0.0,0.0,1.0000001907348632,5.840038639982171e-08
sigmaV2_10_sigmaW2_1,DFPHS,4,0.0,0.0,1.0000001907348632,9.536743164062499e-08
sigmaV2_10_sigmaW2_1,DFPHS,5,0.0,0.0,1.0000002145767213,8.920806376395085e-08
sigmaV2_10_sigmaW2_1,DFPHS,6,0.0,0.0,1.0000003099441528,2.676241912918526e-07
sigmaV2_10_sigmaW2_1,DFPHS,7,0.0,0.0,1.0000001192092896,0.0
sigmaV2_10_sigmaW2_1,DFPHS,8,0.0,0.0,1.0000001430511474,4.7683715820312496e-08
sigmaV2_10_sigmaW2_1,DFPHS,9,0.0,0.0,1.0000001907348632,9.536743164062499e-08
sigmaV2_10_sigmaW2_1,DFPHS,10,0.0,0.0,1.0000002145767213,8.920806376395085e-08
sigmaV2_10_sigmaW2_1,DFPHS,11,0.0,0.0,1.0000006198883056,5.190739883679686e-07
sigmaV2_10_sigmaW2_1,DFPHS,12,0.0,0.0,1.0000002145767213,4.7683715820312496e-08
sigmaV2_10_sigmaW2_1,DFPHS,13,0.0,0.0,1.0000001907348632,9.536743164062499e-08
sigmaV2_10_sigmaW2_1,DFPHS,14,0.0,0.0,1.0000001668930054,5.840038639982172e-08
sigmaV2_10_sigmaW2_1,DFPHS,15,0.0,0.0,1.0000001430511474,4.7683715820312496e-08
sigmaV2_10_sigmaW2_1,DFPHS,16,0.0,0.0,1.0000004529953004,2.6549169363165e-07
sigmaV2_10_sigmaW2_1,DFPHS,17,0.0,0.0,1.0000001907348632,5.840038639982171e-08
sigmaV2_10_sigmaW2_1,DFPHS,18,0.0,0.0,1.0000001668930054,5.840038639982172e-08
sigmaV2_10_sigmaW2_1,DFPHS,19,0.0,0.0,1.0000001668930054,9.536743164062499e-08
sigmaV2_10_sigmaW2_1,DFPHS,20,0.0,0.0,1.0000001668930054,9.536743164062499e-08
sigmaV2_10_sigmaW2_1,DFPHS,21,0.0,0.0,1.0000002145767213,8.920806376395086e-08
sigmaV2_10_sigmaW2_1,DFPHS,22,0.0,0.0,1.000000262260437,4.7683715820312496e-08
sigmaV2_10_sigmaW2_1,DFPHS,23,0.0,0.0,1.0000001668930054,5.840038639982172e-08
sigmaV2_10_sigmaW2_1,DFPHS,24,0.0,0.0,1.0000001668930054,5.840038639982171e-08
sigmaV2_10_sigmaW2_1,DFPHS,25,0.0,0.0,1.0000002145767213,8.920806376395085e-08
sigmaV2_10_sigmaW2_1,DFPHS,26,0.0,0.0,1.0000001430511474,4.7683715820312496e-08
sigmaV2_10_sigmaW2_1,DFPHS,27,0.0,0.0,1.000000238418579,1.066240299940009e-07
sigmaV2_10_sigmaW2_1,DFPHS,28,0.0,0.0,1.0000002145767213,4.7683715820312496e-08
sigmaV2_10_sigmaW2_1,DFPHS,29,0.0,0.0,1.0000001430511474,4.7683715820312496e-08
sigmaV2_10_sigmaW2_1,DFPHS,30,0.0,0.0,1.000000262260437,8.920806376395085e-08
sigmaV2_10_sigmaW2_1,DFPHS,31,0.0,0.0,1.0000001907348632,9.536743164062499e-08
sigmaV2_10_sigmaW2_1,DFPHS,32,0.0,0.0,1.0000001430511474,4.7683715820312496e-08
sigmaV2_10_sigmaW2_1,DFPHS,33,0.0,0.0,1.000000238418579,1.3058723390225555e-07
sigmaV2_10_sigmaW2_1,DFPHS,34,0.0,0.0,1.0000001907348632,5.840038639982171e-08
sigmaV2_10_sigmaW2_1,DFPHS,35,0.0,0.0,1.0000001907348632,5.840038639982172e-08
sigmaV2_10_sigmaW2_1,DFPHS,36,0.0,0.0,1.0000001430511474,4.7683715820312496e-08
sigmaV2_10_sigmaW2_1,DFPHS,37,0.0,0.0,1.0000001668930054,5.840038639982172e-08
sigmaV2_10_sigmaW2_1,DFPHS,38,0.0,0.0,1.0000001907348632,5.840038639982172e-08
sigmaV2_10_sigmaW2_1,DFPHS,39,0.0,0.0,1.0000001907348632,9.536743164062499e-08
sigmaV2_10_sigmaW2_1,DFPHS,40,0.0,0.0,1.0000001907348632,9.536743164062499e-08
sigmaV2_10_sigmaW2_1,DFPHS,41,0.0,0.0,1.0000001668930054,5.840038639982172e-08
sigmaV2_10_sigmaW2_1,DFPHS,42,0.0,0.0,1.000000262260437,1.9073486328124998e-07
sigmaV2_10_sigmaW2_1,DFPHS,43,0.0,0.0,1.0000001668930054,5.840038639982172e-08
sigmaV2_10_sigmaW2_1,DFPHS,44,0.0,0.0,1.0000001907348632,5.840038639982172e-08
sigmaV2_10_sigmaW2_1,DFPHS,45,0.0,0.0,1.000000262260437,8.920806376395086e-08
sigmaV2_10_sigmaW2_1,DFPHS,46,0.0,0.0,1.0000001668930054,5.840038639982171e-08
sigmaV2_10_sigmaW2_1,DFPHS,47,0.0,0.0,1.0000001430511474,4.7683715820312496e-08
sigmaV2_10_sigmaW2_1,DFPHS,48,0.0,0.0,1.0000002145767213,8.920806376395085e-08
sigmaV2_10_sigmaW2_1,DFPHS,49,0.0,0.0,1.0000001907348632,9.536743164062499e-08
sigmaV2_10_sigmaW2_1,DFPHS,50,0.0,0.0,1.0000001668930054,5.840038639982172e-08
sigmaV2_10_sigmaW2_1,DFPHS,51,0.0,0.0,1.0000001430511474,4.7683715820312496e-08
sigmaV2_10_sigmaW2_1,DFPHS,52,0.0,0.0,1.000000238418579,1.066240299940009e-07
sigmaV2_10_sigmaW2_1,DFPHS,53,0.0,0.0,1.0000002145767213,1.3902072655785801e-07
sigmaV2_10_sigmaW2_1,DFPHS,54,0.0,0.0,1.0000001192092896,0.0
sigmaV2_10_sigmaW2_1,DFPHS,55,0.0,0.0,1.0000001192092896,0.0
sigmaV2_10_sigmaW2_1,DFPHS,56,0.0,0.0,1.0000001907348632,5.840038639982172e-08
sigmaV2_10_sigmaW2_1,DFPHS,57,0.0,0.0,1.0000001668930054,5.840038639982172e-08
sigmaV2_10_sigmaW2_1,DFPHS,58,0.0,0.0,1.0000001907348632,9.536743164062499e-08
sigmaV2_10_sigmaW2_1,DFPHS,59,0.0,0.0,1.000000262260437,1.3902072655785801e-07
sigmaV2_10_sigmaW2_1,DFPHS,60,0.0,0.0,1.000000238418579,7.539457464619587e-08
sigmaV2_10_sigmaW2_1,DFPHS,61,0.0,0.0,1.0000001430511474,4.7683715820312496e-08
sigmaV2_10_sigmaW2_1,DFPHS,62,0.0,0.0,1.0000001907348632,9.5367431640625e-08
sigmaV2_10_sigmaW2_1,DFPHS,63,0.0,0.0,1.0000001668930054,5.840038639982172e-08
sigmaV2_10_sigmaW2_1,DFPHS,64,0.0,0.0,1.0000001430511474,4.7683715820312496e-08
