scenario,baseline,seed,flow_magnitude_mean,flow_magnitude_std,jacobian_conditioning_mean,jacobian_conditioning_std
sigmaV2_10_sigmaW2_10,DFPHS,11,0.0,0.0,1.0000002539157868,1.648841598081907e-07
sigmaV2_10_sigmaW2_10,DFPHS,22,0.0,0.0,1.0000002527236937,1.696629226175041e-07
sigmaV2_10_sigmaW2_10,DFPHS,33,0.0,0.0,1.0000002562999726,1.6550354214805152e-07
sigmaV2_10_sigmaW2_10,DFPHS,44,0.0,0.0,1.0000002455711365,1.950229000906474e-07
sigmaV2_10_sigmaW2_10,DFPHS,55,0.0,0.0,1.0000002551078797,1.7276712431423485e-07
sigmaV2_10_sigmaW2_10,DPFS,11,0.0,0.0,1.000000227689743,9.550888776280542e-08
sigmaV2_10_sigmaW2_10,DPFS,22,0.0,0.0,1.0000002038478852,8.967676780154833e-08
sigmaV2_10_sigmaW2_10,DPFS,33,0.0,0.0,1.0000002241134645,1.1834787031164986e-07
sigmaV2_10_sigmaW2_10,DPFS,44,0.0,0.0,1.0000002014636993,8.031380301810013e-08
sigmaV2_10_sigmaW2_10,DPFS,55,0.0,0.0,1.0000002121925353,1.0056064943772862e-07
sigmaV2_10_sigmaW2_10,DPFOT,11,62.60111015319824,15.727987788882501,100757022.8732479,230835789.84964558
sigmaV2_10_sigmaW2_10,DPFOT,22,63.12609802246094,15.456763459451812,195881377.48854184,559420744.3203615
sigmaV2_10_sigmaW2_10,DPFOT,33,62.454253311157224,15.66387587341514,128856019.52607715,513812366.7972447
sigmaV2_10_sigmaW2_10,DPFOT,44,61.596437797546386,14.381074785884255,96787761.8452539,273712470.03840166
sigmaV2_10_sigmaW2_10,DPFOT,55,63.699266815185545,14.063491340836674,203256459.78359467,570517115.6825722
sigmaV2_10_sigmaW2_10,DPFOT-HMC,11,60.1942534828186,14.758169213620402,72871430.80060425,410597277.00490624
sigmaV2_10_sigmaW2_10,DPFOT-HMC,22,58.72718801498413,15.057002881547078,83105363.39462647,252513038.66627565
sigmaV2_10_sigmaW2_10,DPFOT-HMC,33,61.08389316558838,14.819927860611921,121358828.01934265,593258080.7031642
sigmaV2_10_sigmaW2_10,DPFOT-HMC,44,59.747747611999515,15.100915855304665,164044206.50562012,763187165.9585464
